"GeneName","PearsonCorrelation","p.Standard","q.Standard"
"1","CCNB2",0.570378866998345,9.34653833498531e-20,5.12245820774205e-16
"2","FOXM1",0.556717547733629,1.19369854582941e-18,3.27108855412575e-15
"3","UBE2C",0.553489575789151,2.13712646778733e-18,3.90424084423594e-15
"4","KIF2C",0.533311263622435,6.95043546485878e-17,7.1882765781876e-14
"5","MELK",0.532998481560255,7.32068108579301e-17,7.1882765781876e-14
"6","CDCA3",0.53256216753344,7.86952278095275e-17,7.1882765781876e-14
"7","DLGAP5",0.525298608976522,2.57703151845868e-16,2.01766621734572e-13
"8","CEP55",0.520357483480001,5.67059353325631e-16,3.88477762382754e-13
"9","NISCH",-0.511591344371951,2.21792253035967e-15,1.3506147722034e-12
"10","TRIP13",0.509265358551773,3.16152070700948e-15,1.73270114711327e-12
"11","MYBL2",0.507034197620237,4.42922117146843e-15,2.20679664107856e-12
"12","CDC45",0.505988044962864,5.18287857090852e-15,2.36710444050215e-12
"13","CDC20",0.504960201039708,6.04454577292955e-15,2.54828472292144e-12
"14","TPX2",0.504150614943626,6.82016411686235e-15,2.66989647522375e-12
"15","FEN1",0.499519114952794,1.35129567084793e-14,4.93726864580548e-12
"16","RAD51AP1",0.497967707830808,1.6947005320521e-14,5.57949942906192e-12
"17","PRDX4",0.497082927847669,1.9272034151739e-14,5.57949942906192e-12
"18","NDC80",0.497066810544123,1.93171460912501e-14,5.57949942906192e-12
"19","EZH2",0.497057631833431,1.93428830570804e-14,5.57949942906192e-12
"20","CENPM",0.496459495242237,2.10940831231694e-14,5.7804052878387e-12
"21","CCNA2",0.496011857953247,2.25048117881323e-14,5.87332080178261e-12
"22","HJURP",0.494379451270511,2.84715306941493e-14,7.09276821701175e-12
"23","LMNB1",0.489338642700179,5.83398847968142e-14,1.39016184158213e-11
"24","CDT1",0.486512250465223,8.67267523809943e-14,1.98047550085083e-11
"25","PTTG1",0.4855648640238,9.89627461880312e-14,2.16949853861535e-11
"26","PLK1",0.484977286907796,1.07379558674755e-13,2.263476026192e-11
"27","CHEK1",0.478372087998247,2.65606024310493e-13,5.39140291736272e-11
"28","TTC28",-0.477717799163558,2.90191789413847e-13,5.68008351719361e-11
"29","MAD2L1",0.476409529690732,3.46168146840062e-13,6.54209336004146e-11
"30","WDR19",-0.475818939185683,3.747555257995e-13,6.84627630831964e-11
"31","KIF23",0.475395019228294,3.96678003935309e-13,7.01300353226634e-11
"32","MCM10",0.474165025962524,4.67584921117217e-13,7.95275713249635e-11
"33","NUSAP1",0.473682735250577,4.9863031538941e-13,7.95275713249635e-11
"34","NCAPH",0.473666787996228,4.99690364711627e-13,7.95275713249635e-11
"35","ERBB4",-0.473544733377528,5.07876516266676e-13,7.95275713249635e-11
"36","CENPN",0.473328704338344,5.22686375060051e-13,7.95731061074384e-11
"37","CIRBP",-0.473017861082752,5.44735626834984e-13,8.06885085735822e-11
