"sampleName","pheno"
"GSM282373","2"
"GSM282374","3"
"GSM282375","3"
"GSM282376","2"
"GSM282377","2"
"GSM282378","2"
"GSM282379","2"
"GSM282380","3"
"GSM282381","2"
"GSM282382","1"
"GSM282383","2"
"GSM282384","2"
"GSM282385","2"
"GSM282386","2"
"GSM282387","2"
"GSM282388","3"
"GSM282389","2"
"GSM282390","2"
"GSM282391","2"
"GSM282392","2"
"GSM282393","1"
"GSM282394","2"
"GSM282395","2"
"GSM282396","2"
"GSM282397","2"
"GSM282398","3"
"GSM282399","2"
"GSM282400","3"
"GSM282401","1"
"GSM282402","1"
"GSM282403","2"
"GSM282404","2"
"GSM282405","2"
"GSM282406","3"
"GSM282407","2"
"GSM282408","2"
"GSM282409","2"
"GSM282410","3"
"GSM282411","1"
"GSM282412","2"
"GSM282413","3"
"GSM282414","2"
"GSM282415","2"
"GSM282416","2"
"GSM282417","2"
"GSM282418","3"
"GSM282419","2"
"GSM282420","2"
"GSM282421","1"
"GSM282422","2"
"GSM282423","2"
"GSM282424","2"
"GSM282425","2"
"GSM282426","2"
"GSM282427","3"
"GSM282428","2"
"GSM282429","3"
"GSM282430","2"
"GSM282431","2"
"GSM282432","2"
"GSM282433","2"
"GSM282434","2"
"GSM282435","3"
"GSM282436","2"
"GSM282437","2"
"GSM282438","2"
"GSM282439","2"
"GSM282440","3"
"GSM282441","2"
"GSM282442","2"
"GSM282443","1"
"GSM282444","2"
"GSM282445","1"
"GSM282446","2"
"GSM282447","2"
"GSM282448","3"
"GSM282449","2"
"GSM282450","2"
"GSM282451","2"
"GSM282452","2"
"GSM282453","2"
"GSM282454","3"
"GSM282455","1"
"GSM282456","2"
"GSM282457","3"
"GSM282458","1"
"GSM282459","1"
"GSM282460","2"
"GSM282461","3"
"GSM282462","2"
"GSM282463","1"
"GSM282464","3"
"GSM282465","3"
"GSM282466","1"
"GSM282467","2"
"GSM282468","2"
"GSM282469","2"
"GSM282470","2"
"GSM282471","3"
"GSM282472","2"
"GSM282473","2"
"GSM282474","3"
"GSM282475","2"
"GSM282476","2"
"GSM282477","2"
"GSM282478","2"
"GSM282479","1"
"GSM282480","2"
"GSM282481","2"
"GSM282482","2"
"GSM282483","3"
"GSM282484","3"
"GSM282485","2"
"GSM282486","2"
"GSM282487","2"
"GSM282488","2"
"GSM282489","2"
"GSM282490","2"
"GSM282491","2"
"GSM282492","2"
"GSM282493","2"
"GSM282494","3"
"GSM282495","3"
"GSM282496","2"
"GSM282497","3"
"GSM282498","2"
"GSM282499","2"
"GSM282500","2"
"GSM282501","1"
"GSM282502","2"
"GSM282503","1"
"GSM282504","2"
"GSM282505","1"
"GSM282506","1"
"GSM282507","2"
"GSM282508","2"
"GSM282509","2"
"GSM282510","2"
"GSM282511","3"
"GSM282512","2"
"GSM282513","2"
"GSM282514","2"
"GSM282515","2"
"GSM282516","2"
"GSM282517","1"
"GSM282518","2"
"GSM282519","3"
"GSM282520","2"
"GSM282521","1"
"GSM282522","2"
"GSM282523","1"
"GSM282524","2"
"GSM282525","3"
"GSM282526","2"
"GSM282527","3"
"GSM282528","2"
"GSM282529","1"
"GSM282530","2"
"GSM282531","2"
"GSM282532","2"
"GSM282533","2"
"GSM282534","1"
"GSM282535","3"
"GSM282536","2"
"GSM282537","2"
"GSM282538","2"
"GSM282539","2"
"GSM282540","1"
"GSM282541","1"
"GSM282542","2"
"GSM282543","2"
"GSM282544","2"
"GSM282545","2"
"GSM282546","1"
"GSM282547","1"
"GSM282548","2"
"GSM282549","2"
"GSM282550","2"
"GSM282551","2"
"GSM282552","2"
"GSM282553","3"
"GSM282554","2"
"GSM282555","1"
"GSM282556","2"
"GSM282557","2"
"GSM282558","2"
"GSM282559","2"
"GSM282560","2"
"GSM282561","2"
"GSM282562","2"
"GSM282563","2"
"GSM282564","1"
"GSM282565","3"
"GSM282566","2"
"GSM282567","2"
"GSM282568","2"
"GSM282569","3"
"GSM282570","2"
"GSM282571","2"
"GSM282572","2"
